"subj","lhs","op","rhs","est","se","z","pvalue","sarg","sarg.df","sarg.p"
"subj7","neg","=~","angry",1.74558385602177,0.919707274944688,1.89797765395163,0.0576990257576923,3.70715575026165,1,0.0541796410729014
"subj7","neg","=~","sad",1.39268960310383,0.48372654367438,2.87908451854838,0.00398831432646878,3.09119898647908,1,0.0787167867896655
"subj7","neg","=~","depressed",1.1371003141249,0.528723736699288,2.1506511533293,0.0315037445403618,19.2791656853994,1,1.12931954241638e-05
"subj7","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj7","neglag","=~","angrylag",1.74558385602177,0.919707274944688,1.89797765395163,0.0576990257576924,3.26638822808531,1,0.0707131475645727
"subj7","neglag","=~","sadlag",1.39268960310383,0.48372654367438,2.87908451854838,0.00398831432646877,5.88125999844999,1,0.0153028668850072
"subj7","neglag","=~","depressedlag",1.1371003141249,0.528723736699288,2.1506511533293,0.0315037445403618,18.6250560341034,1,1.59115493126768e-05
"subj7","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj7","pos","=~","excited",0.819603040616349,0.110765656758904,7.39943286212188,1.36767348649224e-13,1.14587393560642,1,0.284414548018056
"subj7","pos","=~","relaxed",0.854984990963374,0.0960499787918023,8.90145944557299,5.51171000253931e-19,0.289064840766464,1,0.59082042637425
"subj7","pos","=~","satisfied",1.09529011561069,0.107752407063913,10.1648784046283,2.84476761391253e-24,1.30182719108681,1,0.253879735708719
"subj7","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj7","poslag","=~","excitedlag",0.819603040616349,0.110765656758904,7.39943286212188,1.36767348649223e-13,2.71177781422995,1,0.0996099261398268
"subj7","poslag","=~","relaxedlag",0.854984990963374,0.0960499787918024,8.90145944557299,5.51171000253939e-19,0.107696635975827,1,0.742781877198467
"subj7","poslag","=~","satisfiedlag",1.09529011561069,0.107752407063913,10.1648784046283,2.84476761391258e-24,2.05475299941228,1,0.151731858589343
"subj7","neg","~","neglag",0.867936101614035,0.454096032896231,1.91134922733926,0.0559597168110832,2.17365389820159,1,0.14039230984566
"subj7","neg","~","pos",-0.00431211586112708,0.13371958668164,-0.0322474513131226,0.974274715161812,2.17365389820159,1,0.14039230984566
"subj7","pos","~","poslag",0.35978121402223,0.133636085709219,2.69224597617355,0.00709725788780142,4.36649940005272,1,0.0366522140321899
"subj8","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj8","neg","=~","angry",4.43675239649665,1.93075710264208,2.29793400237934,0.0215655456780265,2.23958240850609,1,0.134517304126821
"subj8","neg","=~","sad",4.99995624210518,2.1281140286981,2.34947760067347,0.018799775210183,0.261027928768256,1,0.609414831958792
"subj8","neg","=~","depressed",6.28557698148541,3.29458992097291,1.90784805765121,0.0564108573465933,0.763848971614012,1,0.382126674501524
"subj8","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj8","neglag","=~","angrylag",4.43675239649665,1.93075710264208,2.29793400237934,0.0215655456780265,1.99188929244587,1,0.158143477344364
"subj8","neglag","=~","sadlag",4.99995624210518,2.1281140286981,2.34947760067347,0.018799775210183,0.871030659995032,1,0.350670136361044
"subj8","neglag","=~","depressedlag",6.28557698148541,3.29458992097291,1.90784805765121,0.0564108573465933,0.409369300652433,1,0.522289797105614
"subj8","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj8","pos","=~","excited",0.978381918685859,0.112121317251301,8.72610082249549,2.63603695156143e-18,0.486441557611761,1,0.48551895268482
"subj8","pos","=~","relaxed",1.25705855989195,0.134809914523477,9.32467440792749,1.11324864050669e-20,2.79575116604515,1,0.0945144650933358
"subj8","pos","=~","satisfied",1.42313349431004,0.137574085486896,10.3444881299654,4.43278754684825e-25,5.67947635930916,1,0.0171644897890302
"subj8","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj8","poslag","=~","excitedlag",0.978381918685859,0.112121317251301,8.72610082249549,2.63603695156147e-18,0.160698734174073,1,0.688514022463104
"subj8","poslag","=~","relaxedlag",1.25705855989195,0.134809914523476,9.32467440792749,1.11324864050667e-20,3.56502572978322,1,0.0590088261129971
"subj8","poslag","=~","satisfiedlag",1.42313349431004,0.137574085486896,10.3444881299654,4.43278754684833e-25,5.82177862129647,1,0.0158289306206851
"subj8","neg","~","neglag",0.402970712088662,0.42412852574322,0.950114617691695,0.34205401646251,0.3082370387789,1,0.578764028961789
"subj8","neg","~","pos",-0.132227983249236,0.0583161110495544,-2.26743486267242,0.0233636738123847,0.3082370387789,1,0.578764028961789
"subj8","pos","~","poslag",0.505745279059885,0.151505339315878,3.33813502113904,0.000843427538608184,7.8445010066089,1,0.00509755268383306
"subj9","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj9","neg","=~","angry",1.28697183479375,0.153559665222228,8.3809236815623,5.2513943884916e-17,2.50893213427295,1,0.113202617053736
"subj9","neg","=~","sad",1.20864765881385,0.144129411922313,8.38585020707175,5.03604302664325e-17,8.92252158533144,1,0.00281675338329732
"subj9","neg","=~","depressed",1.33143639837317,0.145897211766788,9.12585225070251,7.11740222431347e-20,1.64233248521532,1,0.200005742069117
"subj9","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj9","neglag","=~","angrylag",1.28697183479375,0.153559665222227,8.38092368156231,5.25139438849152e-17,1.20936758404265,1,0.271457406427718
"subj9","neglag","=~","sadlag",1.20864765881385,0.144129411922313,8.38585020707175,5.03604302664318e-17,11.8301024580087,1,0.000582807873126141
"subj9","neglag","=~","depressedlag",1.33143639837317,0.145897211766788,9.1258522507025,7.11740222431359e-20,5.05229339023406,1,0.0245933658752877
"subj9","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj9","pos","=~","excited",0.809330710635459,0.0451360149880095,17.9309296766775,6.76391760027365e-72,0.898683714937315,1,0.343134900877779
"subj9","pos","=~","relaxed",0.890462727474819,0.0546014868822305,16.3083970477846,8.60206039385625e-60,1.6632277895359,1,0.197168077146011
"subj9","pos","=~","satisfied",1.07166046090137,0.0465215243268401,23.0357985127991,2.0415979539335e-117,7.23154721920174,1,0.00716334444675718
"subj9","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
